id,race,gender,reason_injury,reason_escape,reason_weapons,reason_possess_evidence,items_found,total_reasons
1254,White,F,1,1,1,1,0,4
1271,White,F,1,1,1,1,0,4
1279,White,M,1,0,1,0,0,2
1280,White,M,1,0,1,0,0,2
1283,White,M,1,1,1,1,0,4
1285,Black,M,1,0,1,1,0,3
1289,Black,M,1,0,1,1,0,3
1303,Black,M,1,0,1,0,0,2
1304,White,M,0,0,1,0,0,1
1310,Black,M,1,1,1,1,0,4
1318,Black,M,1,1,0,0,0,2
1319,Black,M,0,0,0,0,0,0
1327,Black,M,0,0,0,1,0,1
1328,Black,M,1,0,0,1,0,2
1339,Black,M,1,0,0,1,0,2
1348,White,F,1,0,0,1,0,2
1349,White,F,1,0,0,0,0,1
1350,White,F,1,0,0,0,1,1
1352,White,F,1,0,1,0,0,2
1355,White,M,1,0,1,0,0,2
1356,Black,M,1,1,0,1,0,3
1359,White,M,1,1,1,1,0,4
1367,Black,M,1,1,1,1,1,4
1369,Black,M,0,0,0,0,1,0
1379,White,F,1,0,1,0,0,2
1380,White,F,1,0,1,0,0,2
1381,White,F,0,0,0,1,0,1
1382,White,F,1,0,1,0,0,2
1386,Unknown or Legacy,M,1,0,0,0,0,1
1387,Unknown or Legacy,M,1,0,0,0,0,1
1391,Black,M,1,1,1,1,0,4
1393,East/Southeast Asian,M,1,1,1,1,0,4
1394,Black,M,0,0,1,1,0,2
1395,Black,M,1,1,1,1,0,4
1402,Black,M,1,1,1,1,0,4
1407,White,M,0,0,1,1,0,2
1408,White,M,1,0,0,0,0,1
1424,White,M,1,0,0,0,0,1
1428,White,M,1,0,1,0,0,2
1433,White,M,0,0,1,0,1,1
1434,White,M,1,0,0,0,0,1
1436,Black,M,1,1,1,0,0,3
1441,Black,M,1,1,1,1,0,4
1457,Black,M,1,0,1,0,0,2
1460,Unknown or Legacy,M,1,1,1,1,0,4
1470,Black,M,0,0,0,1,1,1
1478,East/Southeast Asian,M,1,0,1,0,0,2
1492,White,M,1,1,1,0,0,3
1498,White,M,1,1,1,0,0,3
1499,White,M,1,1,1,1,1,4
1518,Middle-Eastern,M,1,1,1,1,0,4
1523,Black,M,1,0,1,1,0,3
1524,Black,M,1,0,1,1,0,3
1525,Unknown or Legacy,F,1,0,0,0,0,1
1540,White,F,1,1,1,1,0,4
1541,White,F,1,0,0,0,0,1
1544,White,F,1,0,1,1,0,3
1560,Black,M,1,1,0,0,1,2
1561,Black,M,1,1,0,1,1,3
1562,Black,M,0,0,0,0,0,0
1563,Black,M,1,0,1,0,0,2
1564,Black,M,1,0,1,0,0,2
1567,Black,M,1,0,0,1,0,2
1570,Black,M,1,0,0,1,0,2
1573,White,M,1,1,1,1,0,4
1574,Middle-Eastern,M,0,0,1,0,0,1
1588,White,M,0,0,0,1,0,1
1605,Black,M,1,1,1,0,0,3
1611,White,M,1,1,0,0,1,2
1646,Black,M,1,0,1,0,0,2
1669,White,M,1,0,1,0,0,2
1672,South Asian,M,1,1,1,1,0,4
1675,White,M,1,0,0,0,0,1
1677,Black,M,1,0,0,1,0,2
1679,White,F,1,0,0,0,0,1
1700,White,M,1,1,0,0,0,2
1708,Black,M,0,0,0,1,1,1
1710,White,F,1,0,0,0,0,1
1721,Black,M,0,0,1,0,0,1
1728,White,M,0,1,0,0,0,1
1736,Black,M,1,0,0,1,0,2
1755,Black,M,1,1,1,1,0,4
1765,Middle-Eastern,F,1,1,0,0,0,2
1769,Black,M,1,0,0,1,0,2
1774,Black,M,0,0,0,1,0,1
1780,White,M,1,0,0,1,0,2
1782,White,M,1,0,0,0,1,1
1792,White,F,0,0,0,0,0,0
1797,Black,M,1,1,1,0,0,3
1798,Black,M,0,0,0,0,0,0
1800,Black,M,0,0,0,0,0,0
1806,White,M,1,0,0,1,0,2
1835,Black,M,1,0,1,0,0,2
1844,Black,M,1,1,1,1,0,4
1873,White,M,1,0,0,0,0,1
1895,Black,M,1,1,1,1,0,4
1900,Black,M,1,0,1,0,0,2
1902,Black,F,1,0,0,0,0,1
1904,Black,M,1,1,1,1,0,4
1932,Indigenous,F,1,0,0,0,0,1
1940,Black,M,1,0,1,0,0,2
1949,Black,M,1,0,1,1,0,3
1952,Black,M,1,0,1,1,0,3
