id,race,gender,strip_search,items_found
211,White,M,No,NA
212,Black,F,No,NA
213,Black,F,No,NA
214,Black,F,No,NA
215,Middle-Eastern,M,No,NA
216,Black,M,No,NA
217,Black,M,No,NA
218,Black,M,No,NA
219,White,F,No,NA
220,White,M,No,NA
221,Middle-Eastern,M,Yes,0
222,East/Southeast Asian,M,No,NA
223,East/Southeast Asian,M,No,NA
224,Indigenous,F,No,NA
225,White,F,Yes,0
226,White,F,No,NA
227,Black,M,No,NA
228,Black,M,No,NA
229,Black,M,No,NA
230,Indigenous,M,No,NA
231,White,M,No,NA
232,White,M,No,NA
233,Black,M,No,NA
234,Black,M,No,NA
235,Black,M,Yes,1
236,Unknown or Legacy,F,No,NA
237,Black,M,No,NA
238,Black,M,No,NA
239,Black,M,No,NA
240,Black,M,No,NA
241,Black,M,No,NA
242,Black,M,Yes,0
243,Black,M,No,NA
244,White,M,No,NA
245,Black,M,Yes,1
246,Black,M,No,NA
247,Black,M,No,NA
248,Middle-Eastern,M,No,NA
249,Middle-Eastern,M,No,NA
250,Middle-Eastern,M,No,NA
251,Black,M,No,NA
252,Unknown or Legacy,M,No,NA
253,Unknown or Legacy,M,No,NA
254,Black,F,No,NA
255,White,F,Yes,0
256,White,F,No,NA
257,White,F,Yes,0
258,White,F,No,NA
259,White,F,Yes,0
260,White,F,Yes,0
261,Black,M,No,NA
262,White,M,Yes,0
263,White,M,Yes,0
264,White,M,No,NA
265,White,M,No,NA
266,White,M,No,NA
267,White,M,No,NA
268,East/Southeast Asian,M,No,NA
269,Black,M,No,NA
270,Black,M,Yes,0
271,Black,M,No,NA
272,Black,M,No,NA
273,Black,M,No,NA
274,Black,M,No,NA
275,Black,M,No,NA
276,White,M,No,NA
277,East/Southeast Asian,M,No,NA
278,White,M,Yes,0
279,White,M,Yes,0
280,White,F,No,NA
281,White,F,No,NA
282,White,F,No,NA
283,White,F,No,NA
284,White,F,No,NA
285,South Asian,F,No,NA
286,Black,M,No,NA
287,Black,M,No,NA
288,Black,M,Yes,0
289,Middle-Eastern,M,No,NA
290,Black,M,No,NA
291,White,M,No,NA
292,White,M,No,NA
293,White,M,No,NA
294,White,M,No,NA
295,White,M,No,NA
296,White,M,No,NA
297,Black,M,No,NA
298,White,F,No,NA
299,White,M,No,NA
300,White,M,No,NA
301,White,M,No,NA
302,White,M,No,NA
303,White,M,No,NA
304,Black,M,No,NA
305,Black,M,No,NA
306,Black,M,No,NA
307,Black,M,No,NA
308,Black,M,No,NA
309,Black,M,Yes,0
310,Unknown or Legacy,M,No,NA
311,White,M,No,NA
312,Black,M,No,NA
313,Black,M,No,NA
314,White,M,No,NA
315,Unknown or Legacy,M,No,NA
316,White,M,No,NA
317,Middle-Eastern,M,No,NA
318,White,M,No,NA
319,White,M,No,NA
320,Middle-Eastern,M,No,NA
321,Middle-Eastern,M,No,NA
322,Middle-Eastern,M,No,NA
323,White,M,No,NA
324,Black,M,No,NA
325,Middle-Eastern,M,No,NA
326,Indigenous,F,No,NA
327,White,M,No,NA
328,Black,M,No,NA
329,Black,M,No,NA
330,White,M,No,NA
331,White,M,No,NA
332,Unknown or Legacy,M,No,NA
333,White,M,No,NA
334,Black,M,No,NA
335,East/Southeast Asian,M,No,NA
336,White,M,No,NA
337,Black,M,No,NA
338,Black,F,No,NA
339,White,M,No,NA
340,Black,M,No,NA
341,Black,M,No,NA
342,East/Southeast Asian,M,No,NA
343,East/Southeast Asian,M,No,NA
344,White,F,No,NA
345,White,F,No,NA
346,White,M,Yes,0
347,White,M,No,NA
348,Black,M,No,NA
349,Black,F,No,NA
350,Black,F,No,NA
351,Middle-Eastern,M,No,NA
352,Middle-Eastern,M,No,NA
353,Middle-Eastern,M,No,NA
354,Black,M,No,NA
355,Middle-Eastern,M,No,NA
356,Black,M,Yes,0
357,Black,M,Yes,0
358,Black,M,No,NA
359,Black,M,No,NA
360,White,M,No,NA
361,White,M,No,NA
362,White,M,No,NA
363,White,M,No,NA
364,White,M,No,NA
365,Middle-Eastern,M,No,NA
366,Middle-Eastern,M,No,NA
367,Black,F,No,NA
368,Black,F,No,NA
369,Black,F,No,NA
370,White,M,No,NA
371,White,M,No,NA
372,White,M,No,NA
373,Unknown or Legacy,M,No,NA
374,East/Southeast Asian,M,No,NA
375,Unknown or Legacy,F,No,NA
376,White,F,No,NA
377,Black,M,No,NA
378,Black,F,No,NA
379,Unknown or Legacy,M,Yes,0
380,Middle-Eastern,M,No,NA
381,White,M,No,NA
382,Unknown or Legacy,M,Yes,0
383,White,M,No,NA
384,Middle-Eastern,M,No,NA
385,Black,M,Yes,0
386,East/Southeast Asian,M,No,NA
387,Black,M,Yes,0
388,Black,M,No,NA
389,Black,M,No,NA
390,Black,M,No,NA
391,Black,M,No,NA
392,White,M,No,NA
393,Black,M,No,NA
394,White,M,Yes,0
395,White,M,Yes,0
