id,race,gender,strip_search,items_found
10337,White,M,No,NA
10338,White,M,No,NA
10339,White,M,No,NA
10340,White,M,No,NA
10341,Black,M,Yes,0
10342,Middle-Eastern,M,No,NA
10343,White,M,No,NA
10344,East/Southeast Asian,M,No,NA
10345,White,M,Yes,0
10346,White,M,Yes,0
10347,White,M,No,NA
10348,Unknown or Legacy,M,Yes,0
10349,South Asian,M,No,NA
10350,South Asian,M,No,NA
10351,South Asian,M,No,NA
10352,Unknown or Legacy,M,No,NA
10353,Black,M,No,NA
10354,Black,M,No,NA
10355,Black,M,No,NA
10356,Black,M,No,NA
10357,Black,M,No,NA
10358,Unknown or Legacy,F,No,NA
10359,Black,M,No,NA
10360,Black,M,No,NA
10361,White,M,Yes,0
10362,White,M,Yes,0
10363,Unknown or Legacy,M,No,NA
10364,White,M,No,NA
10365,White,M,No,NA
10366,East/Southeast Asian,M,No,NA
10367,Unknown or Legacy,M,No,NA
10368,Black,M,Yes,0
10369,White,M,No,NA
10370,White,M,No,NA
10371,White,M,No,NA
10372,Black,M,No,NA
10373,Unknown or Legacy,M,No,NA
10374,White,M,No,NA
10375,Black,M,No,NA
10376,Black,M,No,NA
10377,Black,M,Yes,1
10378,Black,F,No,NA
10379,Black,F,No,NA
10380,Latino,M,No,NA
10381,White,M,No,NA
10382,White,M,No,NA
10383,South Asian,M,No,NA
10384,Middle-Eastern,M,Yes,0
10385,Indigenous,F,No,NA
10386,Unknown or Legacy,F,No,NA
10387,Black,M,No,NA
10388,Black,M,No,NA
10389,White,M,No,NA
10390,White,M,No,NA
10391,Middle-Eastern,M,No,NA
10392,Black,M,No,NA
10393,Black,M,No,NA
10394,White,M,No,NA
10395,White,M,No,NA
10396,Unknown or Legacy,M,No,NA
10397,Unknown or Legacy,M,No,NA
10398,Unknown or Legacy,M,No,NA
10399,White,M,No,NA
10400,White,M,No,NA
10401,Black,M,No,NA
10402,Black,M,No,NA
10403,Black,M,No,NA
10404,Black,M,No,NA
10405,Black,M,No,NA
10406,White,M,No,NA
10407,East/Southeast Asian,F,No,NA
10408,Unknown or Legacy,F,No,NA
10409,Black,M,Yes,0
10410,Black,M,No,NA
10411,Black,M,No,NA
10412,Black,M,No,NA
10413,Black,M,No,NA
10414,Black,M,No,NA
10415,Black,F,No,NA
10416,Black,M,Yes,0
10417,Black,M,Yes,0
10418,Black,M,No,NA
10419,Black,M,No,NA
10420,White,M,No,NA
10421,White,M,No,NA
10422,White,M,No,NA
10423,White,M,No,NA
10424,White,M,No,NA
10425,White,M,No,NA
10426,White,M,No,NA
10427,White,M,No,NA
10428,Unknown or Legacy,M,Yes,0
10429,Unknown or Legacy,M,No,NA
10430,Unknown or Legacy,M,No,NA
10431,Unknown or Legacy,M,No,NA
10432,White,M,No,NA
10433,White,M,No,NA
10434,Unknown or Legacy,M,No,NA
10435,Black,F,No,NA
10436,White,F,No,NA
10437,White,M,No,NA
10438,White,M,No,NA
10439,Black,M,No,NA
10440,Black,M,No,NA
10441,Latino,M,No,NA
10442,White,F,No,NA
10443,White,M,No,NA
10444,Unknown or Legacy,M,No,NA
10445,White,M,No,NA
10446,East/Southeast Asian,M,No,NA
10447,South Asian,M,No,NA
10448,White,M,No,NA
10449,White,M,No,NA
10450,White,M,No,NA
10451,Indigenous,M,No,NA
10452,Indigenous,M,No,NA
10453,Indigenous,M,No,NA
10454,Indigenous,M,No,NA
10455,Black,M,No,NA
10456,Latino,M,No,NA
10457,Black,M,No,NA
10458,Black,M,No,NA
10459,Black,M,No,NA
10460,Black,M,No,NA
10461,Middle-Eastern,M,No,NA
10462,Black,M,Yes,0
10463,Black,M,No,NA
10464,Black,M,No,NA
10465,Black,M,No,NA
10466,Black,M,No,NA
10467,Black,M,No,NA
10468,South Asian,M,No,NA
10469,Middle-Eastern,M,No,NA
10470,Black,M,Yes,0
10471,Black,M,No,NA
10472,White,M,No,NA
10473,White,M,No,NA
10474,Black,M,No,NA
10475,East/Southeast Asian,F,No,NA
10476,South Asian,F,No,NA
10477,Black,M,No,NA
10478,White,F,No,NA
10479,White,M,No,NA
10480,White,M,No,NA
10481,White,F,No,NA
10482,White,F,No,NA
10483,White,F,No,NA
10484,White,F,No,NA
10485,Unknown or Legacy,F,No,NA
10486,White,F,Yes,0
10487,White,M,No,NA
10488,Black,M,No,NA
10489,Black,M,No,NA
10490,Middle-Eastern,M,No,NA
10491,Unknown or Legacy,M,No,NA
10492,White,M,No,NA
10493,White,M,No,NA
10494,White,M,No,NA
10495,White,M,Yes,1
10496,Black,M,Yes,0
10497,White,M,Yes,0
10498,White,M,Yes,0
10499,White,M,No,NA
10500,White,M,No,NA
10501,Black,M,Yes,0
10502,Black,M,No,NA
10503,Black,M,No,NA
10504,White,M,No,NA
10505,White,M,No,NA
10506,White,M,No,NA
10507,Black,M,No,NA
10508,White,M,No,NA
10509,White,M,No,NA
10510,White,M,No,NA
10511,Black,M,No,NA
10512,White,M,No,NA
10513,White,M,No,NA
10514,Black,M,Yes,1
10515,Black,M,No,NA
10516,Unknown or Legacy,M,Yes,0
10517,Unknown or Legacy,M,Yes,1
10518,White,M,No,NA
10519,White,M,No,NA
10520,Black,M,No,NA
10521,Black,M,No,NA
10522,Black,M,No,NA
10523,White,M,No,NA
10524,White,M,No,NA
10525,White,M,Yes,0
10526,White,M,No,NA
10527,White,M,No,NA
10528,White,M,No,NA
10529,White,M,No,NA
10530,White,M,No,NA
10531,Unknown or Legacy,M,No,NA
10532,Unknown or Legacy,M,No,NA
10533,White,M,No,NA
10534,White,M,No,NA
10535,Black,M,No,NA
10536,Black,M,No,NA
10537,Indigenous,F,No,NA
10538,Indigenous,F,No,NA
10539,Indigenous,F,No,NA
10540,Indigenous,F,No,NA
10541,Indigenous,F,No,NA
10542,White,F,Yes,0
10543,White,M,No,NA
10544,White,M,No,NA
10545,White,M,No,NA
10546,Unknown or Legacy,M,No,NA
10547,Black,M,No,NA
10548,Unknown or Legacy,M,No,NA
10549,White,M,No,NA
10550,White,M,No,NA
10551,White,M,Yes,0
10552,White,M,No,NA
10553,White,M,No,NA
10554,White,M,No,NA
10555,Black,M,No,NA
10556,Black,M,No,NA
10557,Black,M,No,NA
10558,Black,M,No,NA
10559,Black,M,No,NA
10560,Black,M,No,NA
10561,Black,M,No,NA
10562,Black,M,No,NA
10563,White,M,Yes,0
10564,Black,M,No,NA
10565,White,M,No,NA
10566,White,M,No,NA
10567,Black,M,No,NA
10568,White,M,No,NA
10569,White,M,No,NA
10570,Black,M,No,NA
10571,White,M,No,NA
10572,White,F,No,NA
10573,White,M,No,NA
10574,White,M,No,NA
10575,White,M,No,NA
10576,White,F,No,NA
10577,White,M,No,NA
10578,Middle-Eastern,M,No,NA
10579,White,M,No,NA
10580,White,M,Yes,0
10581,White,M,No,NA
10582,Black,M,No,NA
10583,Black,M,No,NA
10584,White,M,No,NA
10585,South Asian,M,No,NA
10586,White,M,No,NA
10587,Unknown or Legacy,M,No,NA
10588,Black,M,No,NA
10589,White,M,No,NA
10590,South Asian,M,Yes,0
10591,Middle-Eastern,M,Yes,0
10592,White,M,Yes,0
10593,Black,M,No,NA
10594,White,F,No,NA
10595,East/Southeast Asian,M,No,NA
10596,Black,M,No,NA
10597,White,M,No,NA
10598,White,M,No,NA
10599,Black,M,No,NA
10600,Indigenous,F,Yes,1
10601,White,M,No,NA
10602,South Asian,M,No,NA
10603,White,M,Yes,0
10604,White,M,Yes,1
10605,White,F,No,NA
10606,Black,M,No,NA
10607,Black,M,No,NA
10608,Black,M,No,NA
10609,Black,M,No,NA
10610,Black,M,No,NA
10611,Black,M,Yes,0
10612,White,F,No,NA
10613,Black,M,No,NA
10614,Black,F,Yes,0
10615,Black,F,No,NA
10616,Black,F,No,NA
10617,Black,F,No,NA
10618,Black,F,Yes,0
10619,Black,F,No,NA
10620,Black,F,Yes,0
10621,Black,F,No,NA
10622,Black,F,No,NA
10623,Black,F,No,NA
10624,Black,F,No,NA
10625,Black,F,No,NA
10626,Black,F,No,NA
10627,Black,F,No,NA
10628,Black,F,No,NA
10629,Black,F,No,NA
10630,Black,F,No,NA
10631,South Asian,M,No,NA
10632,White,F,No,NA
10633,White,F,No,NA
10634,White,M,No,NA
10635,White,M,No,NA
10636,White,M,Yes,0
10637,White,M,No,NA
10638,Unknown or Legacy,M,No,NA
10639,White,M,No,NA
10640,White,M,No,NA
10641,White,M,No,NA
10642,Middle-Eastern,M,No,NA
10643,Middle-Eastern,M,Yes,1
10644,White,M,No,NA
10645,White,M,No,NA
10646,White,M,No,NA
10647,White,M,No,NA
10648,White,M,No,NA
10649,White,M,No,NA
10650,Indigenous,F,No,NA
10651,Middle-Eastern,M,No,NA
10652,White,M,Yes,0
10653,Black,F,No,NA
10654,White,M,No,NA
10655,White,M,No,NA
10656,White,F,No,NA
10657,White,M,No,NA
10658,Indigenous,M,No,NA
10659,Unknown or Legacy,M,No,NA
10660,White,M,No,NA
10661,Black,M,No,NA
10662,Unknown or Legacy,M,No,NA
10663,White,M,No,NA
10664,White,M,No,NA
10665,White,M,No,NA
10666,White,M,No,NA
10667,White,M,No,NA
10668,Unknown or Legacy,M,No,NA
10669,Black,M,No,NA
10670,White,F,No,NA
10671,Black,F,No,NA
10672,East/Southeast Asian,M,No,NA
10673,Black,F,No,NA
10674,East/Southeast Asian,M,No,NA
10675,East/Southeast Asian,M,No,NA
10676,East/Southeast Asian,M,No,NA
10677,White,M,No,NA
10678,East/Southeast Asian,M,No,NA
10679,East/Southeast Asian,M,No,NA
10680,East/Southeast Asian,M,No,NA
10681,East/Southeast Asian,M,No,NA
10682,East/Southeast Asian,M,Yes,0
10683,White,F,No,NA
10684,Black,F,No,NA
10685,Black,F,No,NA
10686,Black,F,No,NA
10687,Black,F,No,NA
10688,Middle-Eastern,F,No,NA
10689,White,F,Yes,0
10690,White,M,No,NA
10691,South Asian,M,No,NA
10692,Middle-Eastern,M,No,NA
10693,Middle-Eastern,M,No,NA
10694,Indigenous,M,Yes,0
10695,Indigenous,M,No,NA
10696,Unknown or Legacy,M,No,NA
10697,Indigenous,M,No,NA
10698,Indigenous,M,No,NA
10699,Indigenous,M,No,NA
10700,Indigenous,M,No,NA
10701,Indigenous,M,No,NA
10702,Indigenous,M,No,NA
10703,Indigenous,M,No,NA
10704,White,M,No,NA
10705,White,F,No,NA
10706,White,M,No,NA
10707,White,M,No,NA
10708,Indigenous,F,No,NA
10709,Indigenous,F,No,NA
10710,Indigenous,F,No,NA
10711,Indigenous,F,No,NA
10712,White,M,No,NA
10713,White,M,No,NA
10714,White,M,No,NA
10715,Middle-Eastern,M,No,NA
10716,Latino,M,Yes,1
10717,White,F,No,NA
10718,Unknown or Legacy,M,No,NA
10719,Unknown or Legacy,M,No,NA
10720,White,M,No,NA
10721,White,M,No,NA
10722,White,M,No,NA
10723,White,M,No,NA
10724,Black,M,No,NA
10725,Black,M,No,NA
10726,Black,M,Yes,0
10727,White,M,No,NA
10728,White,M,Yes,0
10729,White,M,No,NA
10730,White,M,No,NA
10731,Black,M,No,NA
10732,Black,M,No,NA
10733,Black,M,No,NA
10734,White,M,No,NA
10735,White,M,No,NA
10736,White,M,No,NA
10737,White,M,No,NA
10738,South Asian,M,No,NA
10739,White,M,No,NA
10740,White,M,No,NA
10741,White,M,No,NA
10742,Black,M,No,NA
10743,Black,M,No,NA
10744,Black,M,Yes,0
10745,Black,M,No,NA
10746,White,M,No,NA
10747,White,M,No,NA
10748,Black,M,No,NA
10749,Black,M,No,NA
10750,Middle-Eastern,F,No,NA
10751,White,M,No,NA
10752,White,F,No,NA
10753,White,F,No,NA
10754,White,M,No,NA
10755,East/Southeast Asian,M,No,NA
10756,White,F,No,NA
10757,White,F,No,NA
10758,Unknown or Legacy,M,No,NA
10759,Middle-Eastern,M,Yes,0
10760,Middle-Eastern,M,No,NA
10761,Middle-Eastern,M,No,NA
10762,Indigenous,M,No,NA
10763,Latino,M,No,NA
10764,Indigenous,M,No,NA
10765,Indigenous,M,No,NA
10766,Unknown or Legacy,M,No,NA
10767,White,M,No,NA
10768,White,M,No,NA
10769,White,F,No,NA
10770,East/Southeast Asian,M,Yes,0
10771,East/Southeast Asian,M,No,NA
10772,Black,F,No,NA
10773,White,F,No,NA
10774,White,F,No,NA
10775,Black,M,No,NA
10776,White,F,No,NA
10777,White,F,No,NA
10778,White,F,No,NA
10779,Latino,M,No,NA
10780,Middle-Eastern,M,No,NA
10781,White,M,No,NA
10782,Unknown or Legacy,M,No,NA
10783,Unknown or Legacy,M,No,NA
10784,White,M,No,NA
10785,White,M,Yes,0
10786,White,M,Yes,0
10787,White,M,No,NA
10788,White,M,Yes,0
10789,White,M,No,NA
10790,White,M,Yes,0
10791,White,M,No,NA
10792,White,M,Yes,0
10793,Latino,M,No,NA
10794,White,F,No,NA
10795,Black,M,No,NA
10796,Black,M,No,NA
10797,East/Southeast Asian,M,Yes,0
10798,East/Southeast Asian,M,No,NA
10799,South Asian,M,No,NA
10800,South Asian,M,No,NA
10801,White,M,No,NA
10802,White,M,No,NA
10803,White,M,No,NA
10804,Unknown or Legacy,M,Yes,0
10805,White,M,No,NA
10806,White,M,Yes,0
10807,White,M,No,NA
10808,White,M,No,NA
10809,White,M,No,NA
10810,White,M,No,NA
10811,White,F,No,NA
10812,White,M,No,NA
10813,White,M,No,NA
10814,White,M,No,NA
10815,Black,M,No,NA
10816,East/Southeast Asian,M,Yes,0
10817,East/Southeast Asian,M,No,NA
10818,Unknown or Legacy,M,No,NA
10819,Black,F,No,NA
10820,Black,M,No,NA
10821,East/Southeast Asian,M,No,NA
10822,South Asian,M,No,NA
10823,South Asian,M,No,NA
10824,South Asian,M,No,NA
10825,White,M,No,NA
10826,Black,M,No,NA
10827,South Asian,M,No,NA
10828,South Asian,M,No,NA
10829,Unknown or Legacy,M,No,NA
10830,Unknown or Legacy,M,No,NA
10831,South Asian,M,No,NA
10832,South Asian,M,No,NA
10833,Black,M,No,NA
10834,Black,M,No,NA
10835,Black,M,No,NA
10836,Black,M,Yes,1
10837,Black,M,Yes,0
10838,Black,M,No,NA
10839,Black,M,No,NA
10840,East/Southeast Asian,M,No,NA
10841,Middle-Eastern,M,No,NA
10842,Black,M,No,NA
10843,White,M,Yes,1
10844,White,M,No,NA
10845,White,M,No,NA
10846,White,M,No,NA
10847,White,F,No,NA
10848,East/Southeast Asian,M,No,NA
10849,Unknown or Legacy,M,Yes,1
10850,Unknown or Legacy,M,No,NA
10851,Black,F,No,NA
10852,Black,M,Yes,0
10853,White,M,No,NA
10854,South Asian,M,No,NA
10855,Black,M,No,NA
10856,Black,M,No,NA
10857,Black,M,No,NA
10858,White,M,No,NA
10859,White,M,No,NA
10860,White,M,No,NA
10861,White,M,Yes,0
10862,White,M,No,NA
10863,Black,M,No,NA
10864,Black,M,No,NA
10865,Latino,M,Yes,0
10866,White,M,Yes,0
10867,White,M,No,NA
10868,White,M,No,NA
10869,White,M,No,NA
10870,White,M,No,NA
10871,White,M,No,NA
10872,Unknown or Legacy,M,No,NA
10873,Unknown or Legacy,M,No,NA
10874,White,M,No,NA
10875,Black,M,No,NA
10876,Black,M,No,NA
10877,Black,M,No,NA
10878,Black,M,No,NA
10879,Black,M,No,NA
10880,Black,M,No,NA
10881,Black,M,No,NA
10882,Black,M,No,NA
10883,White,M,No,NA
10884,Unknown or Legacy,M,No,NA
10885,South Asian,M,No,NA
10886,Unknown or Legacy,M,No,NA
10887,South Asian,M,No,NA
10888,White,M,No,NA
10889,White,F,No,NA
10890,White,F,No,NA
10891,Indigenous,M,No,NA
10892,Indigenous,M,No,NA
10893,Indigenous,M,No,NA
10894,Black,M,No,NA
10895,Black,M,No,NA
10896,Black,M,No,NA
10897,Black,M,No,NA
10898,White,M,No,NA
10899,Unknown or Legacy,M,No,NA
10900,White,M,No,NA
10901,Unknown or Legacy,M,Yes,0
10902,Black,M,No,NA
10903,Black,M,No,NA
10904,Black,M,No,NA
10905,Black,M,Yes,0
10906,White,F,No,NA
10907,White,F,No,NA
10908,Middle-Eastern,M,No,NA
10909,Black,M,No,NA
10910,Latino,M,No,NA
10911,Middle-Eastern,M,No,NA
10912,Black,M,No,NA
10913,Unknown or Legacy,F,No,NA
10914,White,M,No,NA
10915,White,M,No,NA
10916,White,M,No,NA
10917,White,M,No,NA
10918,White,M,No,NA
10919,White,M,No,NA
10920,White,M,No,NA
10921,White,M,No,NA
10922,White,M,No,NA
10923,White,M,No,NA
10924,White,M,No,NA
10925,Unknown or Legacy,M,No,NA
10926,Unknown or Legacy,M,No,NA
10927,Unknown or Legacy,M,No,NA
10928,Middle-Eastern,F,No,NA
10929,White,M,No,NA
10930,White,M,No,NA
10931,White,M,No,NA
10932,White,M,No,NA
10933,White,M,No,NA
10934,Black,F,Yes,1
10935,White,M,No,NA
10936,Black,F,No,NA
10937,White,M,No,NA
10938,White,M,Yes,0
10939,Black,F,No,NA
10940,Black,F,Yes,0
10941,Black,F,No,NA
10942,Black,M,No,NA
10943,Latino,M,No,NA
10944,White,M,No,NA
10945,White,M,No,NA
10946,Latino,M,No,NA
10947,Latino,M,No,NA
10948,White,F,No,NA
10949,White,M,No,NA
10950,Black,F,Yes,0
10951,Black,F,No,NA
10952,White,F,No,NA
10953,White,F,No,NA
10954,White,F,No,NA
10955,White,M,Yes,0
10956,White,M,Yes,1
10957,White,M,No,NA
10958,White,M,No,NA
10959,White,M,No,NA
10960,White,M,No,NA
10961,White,M,Yes,0
10962,White,M,No,NA
10963,White,M,No,NA
10964,White,M,No,NA
10965,White,M,Yes,0
10966,White,M,No,NA
10967,White,M,Yes,0
10968,White,M,No,NA
10969,White,M,No,NA
10970,White,M,No,NA
10971,White,M,No,NA
10972,White,M,No,NA
10973,Unknown or Legacy,M,No,NA
10974,White,M,No,NA
10975,White,M,No,NA
10976,White,M,No,NA
10977,White,M,No,NA
10978,Black,M,Yes,0
10979,White,M,No,NA
10980,Unknown or Legacy,M,No,NA
10981,White,M,Yes,0
10982,Unknown or Legacy,M,No,NA
10983,Indigenous,M,Yes,0
10984,White,M,Yes,0
10985,White,M,No,NA
10986,White,M,No,NA
10987,White,M,Yes,1
10988,White,F,No,NA
10989,White,M,No,NA
10990,South Asian,F,No,NA
10991,South Asian,M,No,NA
10992,Unknown or Legacy,M,No,NA
10993,White,M,No,NA
10994,White,M,No,NA
10995,White,M,Yes,1
10996,White,M,No,NA
10997,Black,M,No,NA
10998,Black,M,Yes,1
10999,Black,M,No,NA
11000,Black,M,No,NA
11001,Black,M,No,NA
11002,Black,M,No,NA
11003,White,M,No,NA
11004,Black,M,No,NA
11005,White,M,No,NA
11006,White,M,No,NA
11007,White,M,No,NA
11008,White,M,No,NA
11009,White,M,No,NA
11010,White,M,No,NA
11011,Black,M,No,NA
11012,Black,M,No,NA
11013,White,M,Yes,0
11014,South Asian,M,No,NA
11015,White,M,No,NA
11016,Indigenous,M,No,NA
11017,Black,M,Yes,0
11018,White,F,Yes,0
11019,Black,M,No,NA
11020,Indigenous,M,No,NA
11021,White,M,No,NA
11022,Middle-Eastern,M,No,NA
11023,Black,F,Yes,1
11024,Black,M,No,NA
11025,Indigenous,M,No,NA
11026,White,M,No,NA
11027,White,M,No,NA
11028,White,M,No,NA
11029,White,M,No,NA
11030,Indigenous,M,No,NA
11031,White,M,No,NA
11032,South Asian,M,No,NA
11033,Latino,M,No,NA
11034,Black,M,No,NA
11035,Black,M,No,NA
11036,White,F,No,NA
11037,Black,M,Yes,1
11038,Black,M,Yes,0
11039,Black,M,No,NA
11040,Middle-Eastern,M,No,NA
11041,Black,M,Yes,1
11042,Black,M,No,NA
11043,Black,M,No,NA
11044,Black,M,Yes,0
11045,Black,M,No,NA
11046,Black,M,No,NA
11047,Black,M,No,NA
11048,Black,M,No,NA
11049,Black,M,No,NA
11050,Black,M,No,NA
11051,Black,M,No,NA
11052,Black,M,No,NA
11053,Black,M,No,NA
11054,Black,M,No,NA
11055,Black,M,No,NA
11056,Black,M,No,NA
11057,Black,M,No,NA
11058,Black,M,Yes,0
11059,Black,M,No,NA
11060,Black,M,No,NA
11061,Black,M,Yes,0
11062,Unknown or Legacy,M,No,NA
11063,White,M,No,NA
11064,White,M,No,NA
11065,Black,M,No,NA
11066,White,M,No,NA
11067,White,M,No,NA
11068,White,M,No,NA
11069,White,M,No,NA
11070,Indigenous,M,No,NA
11071,Black,F,No,NA
11072,Black,F,Yes,0
11073,Black,F,No,NA
11074,Indigenous,M,No,NA
11075,Black,F,No,NA
11076,Indigenous,M,No,NA
11077,Black,F,No,NA
11078,Black,M,No,NA
11079,Indigenous,M,No,NA
11080,Black,M,No,NA
11081,Indigenous,M,No,NA
11082,Middle-Eastern,M,No,NA
11083,East/Southeast Asian,M,No,NA
11084,Indigenous,M,No,NA
11085,White,M,No,NA
11086,White,M,No,NA
11087,South Asian,M,No,NA
11088,White,M,No,NA
11089,White,M,No,NA
11090,East/Southeast Asian,M,No,NA
11091,Middle-Eastern,M,No,NA
11092,White,M,No,NA
11093,East/Southeast Asian,M,No,NA
11094,South Asian,M,No,NA
11095,South Asian,M,No,NA
11096,White,M,No,NA
11097,Black,M,No,NA
11098,South Asian,M,Yes,0
11099,Unknown or Legacy,M,No,NA
11100,Latino,M,No,NA
11101,Black,M,No,NA
11102,South Asian,M,No,NA
11103,South Asian,M,No,NA
11104,South Asian,M,No,NA
11105,Unknown or Legacy,M,No,NA
11106,Black,M,No,NA
11107,Black,M,No,NA
11108,Black,M,No,NA
11109,White,F,No,NA
11110,Unknown or Legacy,M,No,NA
11111,White,M,Yes,0
11112,Unknown or Legacy,M,No,NA
11113,Middle-Eastern,M,No,NA
11114,White,M,No,NA
11115,Indigenous,M,No,NA
11116,Black,M,No,NA
11117,White,M,No,NA
11118,Unknown or Legacy,M,No,NA
11119,White,M,No,NA
11120,White,M,No,NA
11121,White,M,No,NA
11122,Black,M,No,NA
11123,White,M,No,NA
11124,White,M,No,NA
11125,South Asian,M,No,NA
11126,South Asian,M,No,NA
11127,South Asian,M,Yes,0
11128,East/Southeast Asian,M,No,NA
11129,White,F,No,NA
11130,Black,F,No,NA
11131,East/Southeast Asian,M,No,NA
11132,Black,M,No,NA
11133,East/Southeast Asian,M,No,NA
11134,Middle-Eastern,M,No,NA
11135,East/Southeast Asian,M,No,NA
11136,Black,M,No,NA
11137,Black,M,No,NA
11138,Black,M,Yes,0
11139,Black,F,No,NA
11140,White,F,No,NA
11141,White,F,No,NA
11142,Latino,M,No,NA
11143,Black,M,No,NA
11144,Latino,M,No,NA
11145,Black,M,No,NA
11146,Black,F,No,NA
11147,Black,F,No,NA
11148,Black,M,No,NA
11149,Black,F,No,NA
11150,Black,M,No,NA
11151,Unknown or Legacy,F,No,NA
11152,White,M,No,NA
11153,Indigenous,M,No,NA
11154,White,F,No,NA
11155,White,M,No,NA
11156,White,M,No,NA
11157,White,M,No,NA
11158,White,M,No,NA
11159,White,M,No,NA
11160,White,M,No,NA
11161,Unknown or Legacy,M,No,NA
11162,White,M,No,NA
11163,Black,M,No,NA
11164,White,M,No,NA
11165,Black,M,No,NA
11166,White,M,No,NA
11167,South Asian,M,Yes,0
11168,White,M,No,NA
11169,Black,M,No,NA
11170,White,M,No,NA
11171,Black,M,No,NA
11172,Black,M,No,NA
11173,Black,M,No,NA
11174,Black,M,No,NA
11175,Black,M,No,NA
11176,Black,M,No,NA
11177,Black,M,No,NA
11178,Black,M,No,NA
11179,Black,M,No,NA
11180,Black,M,No,NA
11181,Black,M,No,NA
11182,White,M,Yes,1
11183,White,M,No,NA
11184,East/Southeast Asian,M,No,NA
11185,Latino,M,No,NA
11186,Indigenous,M,Yes,0
11187,White,M,Yes,0
11188,Indigenous,M,Yes,0
11189,White,M,No,NA
11190,Indigenous,M,No,NA
11191,Indigenous,M,No,NA
11192,Black,M,No,NA
11193,White,F,No,NA
11194,Black,M,No,NA
11195,Black,M,Yes,0
11196,Black,M,No,NA
11197,Black,M,No,NA
11198,Black,M,No,NA
11199,Black,M,No,NA
11200,Black,M,No,NA
11201,Black,M,No,NA
11202,Black,F,No,NA
11203,Black,M,No,NA
11204,Black,M,No,NA
11205,East/Southeast Asian,F,No,NA
11206,South Asian,M,No,NA
11207,Latino,M,No,NA
11208,South Asian,M,No,NA
11209,Black,M,No,NA
11210,East/Southeast Asian,M,No,NA
11211,South Asian,M,No,NA
11212,East/Southeast Asian,M,No,NA
11213,South Asian,M,No,NA
11214,White,M,No,NA
11215,East/Southeast Asian,M,No,NA
11216,South Asian,M,No,NA
11217,Black,M,No,NA
11218,White,M,No,NA
11219,Black,M,No,NA
11220,Middle-Eastern,M,No,NA
11221,Black,M,No,NA
11222,White,M,No,NA
11223,Black,M,No,NA
11224,Black,M,Yes,0
11225,White,M,Yes,1
11226,Middle-Eastern,M,No,NA
11227,East/Southeast Asian,M,No,NA
11228,Black,M,No,NA
11229,White,M,No,NA
11230,White,M,No,NA
11231,White,M,No,NA
11232,White,M,No,NA
11233,White,M,No,NA
11234,Latino,M,No,NA
11235,Unknown or Legacy,M,No,NA
11236,South Asian,M,No,NA
11237,White,M,No,NA
11238,White,M,No,NA
11239,White,F,No,NA
11240,White,M,Yes,1
11241,White,M,No,NA
11242,White,M,Yes,1
11243,White,M,Yes,0
11244,White,M,Yes,0
11245,White,M,Yes,0
11246,White,M,No,NA
11247,White,M,Yes,0
11248,White,M,No,NA
11249,White,F,No,NA
11250,Middle-Eastern,M,No,NA
11251,Middle-Eastern,M,No,NA
11252,South Asian,M,No,NA
11253,Black,M,Yes,1
11254,Black,M,No,NA
11255,White,M,No,NA
11256,White,M,No,NA
11257,White,M,No,NA
11258,White,M,No,NA
11259,White,M,No,NA
11260,White,M,No,NA
11261,White,M,No,NA
11262,White,M,No,NA
11263,White,M,No,NA
11264,East/Southeast Asian,M,No,NA
11265,White,M,No,NA
11266,Black,M,Yes,0
11267,Black,M,No,NA
11268,Black,M,No,NA
11269,White,M,No,NA
11270,White,M,Yes,0
11271,Unknown or Legacy,M,Yes,0
11272,Black,F,No,NA
11273,Black,M,No,NA
11274,South Asian,M,No,NA
11275,White,M,No,NA
11276,Black,M,No,NA
11277,White,M,Yes,0
11278,White,M,No,NA
11279,Black,M,Yes,0
11280,South Asian,M,No,NA
11281,Black,M,No,NA
11282,Black,M,Yes,0
11283,Black,M,No,NA
11284,White,M,Yes,1
11285,Black,M,No,NA
11286,Unknown or Legacy,M,No,NA
11287,Black,M,No,NA
11288,White,M,No,NA
11289,South Asian,M,No,NA
11290,White,M,Yes,0
11291,Black,M,No,NA
11292,Unknown or Legacy,M,No,NA
11293,Black,M,No,NA
11294,White,M,Yes,0
11295,White,M,No,NA
11296,White,M,No,NA
11297,Black,M,No,NA
11298,White,M,No,NA
11299,White,M,No,NA
11300,Black,M,No,NA
11301,White,M,Yes,0
11302,White,M,No,NA
11303,Unknown or Legacy,M,No,NA
11304,Latino,M,No,NA
11305,White,F,No,NA
11306,Black,M,No,NA
11307,Unknown or Legacy,F,No,NA
11308,White,F,No,NA
11309,White,F,No,NA
11310,White,M,No,NA
11311,White,M,No,NA
11312,White,M,No,NA
11313,White,M,Yes,0
11314,White,M,No,NA
11315,White,M,No,NA
11316,White,M,No,NA
11317,White,M,No,NA
11318,White,M,No,NA
11319,White,M,No,NA
11320,Unknown or Legacy,M,No,NA
11321,Unknown or Legacy,M,No,NA
11322,White,M,No,NA
11323,White,F,No,NA
11324,East/Southeast Asian,M,No,NA
11325,White,M,No,NA
11326,White,M,No,NA
11327,Black,M,No,NA
11328,Black,M,No,NA
11329,White,M,No,NA
11330,Unknown or Legacy,M,No,NA
11331,White,M,No,NA
11332,Unknown or Legacy,M,No,NA
11333,Latino,M,No,NA
11334,White,M,No,NA
11335,White,M,No,NA
11336,Black,M,No,NA
